GEO_DISTRICT,GEO_REGION,MMDA,Region,Latitude,Longitude,Employed_Pop,Unemployed_Pop,Poverty_Incidence_pct,Poverty_Intensity_pct,Illiterate_Pop,Uninsured_Pop,Male_0_14,Female_0_14,Male_15_64,Female_15_64,Male_65plus,Female_65plus,Total_Pop,Uninsurance_Rate_pct,Illiteracy_Rate_pct,Youth_Dep_Ratio,Employment_Rate_pct,Has_Geometry,NHIS_Coverage_Women_2019_pct,No_Insurance_Women_2022_pct,ANC_Skilled_pct,Home_Delivery_pct,Facility_Delivery_pct,Female_Literate_pct,Female_No_Edu_pct,Female_SecPlus_pct,High_Uninsurance,Catastrophic_Proxy,Ecological_Zone,Uninsurance_Quartile,Uninsurance_z,Spatial_Lag_Uninsurance,LISA_Ii,LISA_p,LISA_cluster,BV_Poverty_Ii,BV_Poverty_p,BV_Poverty_cluster,BV_Illiteracy_Ii,BV_Illiteracy_p,BV_Illiteracy_cluster,Gistar_z,Gistar_cluster,GWR_local_R2,GWR_beta_intercept,GWR_beta_Poverty_Incidence,GWR_beta_Illiteracy_Rate,GWR_beta_NHIS_Coverage_Women_2019
ASANTE AKIM SOUTH,ASHANTI,Asante Akim South Municipal,Ashanti,6.46141735,-1.11533920112058,43495,33950,24.6,42.2,31673,40319,23973,22215,34657,35653,3085,4050,123633,32.611843116320074,25.618564622714,65.6919357132698,35.180736534743964,True,52.9,7.5,100.0,7.1,91.3,61.5,9.0,79.8,1,0,Middle Belt,Q3,0.12228328248030015,-0.030944308023185485,-0.003783971559156609,0.958958958958959,NS,-0.03145908628142723,0.4594594594594595,NS,-0.046697871708904805,0.28428428428428426,NS,-0.042417292186913286,NS,0.6516376173785177,0.21841299832644873,1.4317739537450451,-0.5765441417434741,-0.0748344865677845
SISSALA EAST,UPPER WEST,Sissala East Municipal,Upper West,10.59705475,-1.85050542952138,23696,25675,28.8,44.3,36973,13326,15883,15365,22675,23421,1310,1965,80619,16.52960220295464,45.86139743732867,67.78896216591461,29.39257495131421,True,49.6,6.7,98.4,6.9,92.8,51.0,34.6,47.2,0,0,Northern Belt,Q1 (lowest),-1.068212974428615,-0.21693751209480291,0.2317354650599331,0.3923923923923924,NS,-1.4215867638171176,0.0,LH,-1.7003078167379797,0.001001001001001001,LH,-0.9062734600481952,NS,0.595800101308157,-3.175395157194695,-0.5604761635268809,1.8879507901441872,0.6466677346307418
ADA EAST,GREATER ACCRA,Ada East,Greater Accra,5.8761016,0.549568161630084,23660,24880,28.2,44.2,22384,32786,14190,13681,21337,23053,1507,2643,76411,42.9074347934198,29.29421156639751,62.786663662987166,30.964128201436964,True,38.9,13.4,95.8,8.7,91.3,79.2,4.4,84.6,1,0,Southern Belt,Q4 (highest),0.8844198168275453,1.1015793193594345,0.9742585798488832,0.09009009009009009,NS,0.4678819595183216,0.36036036036036034,NS,0.11143659295643929,0.8348348348348348,NS,2.1068160144080452,Hot_95,0.532164334003036,0.35370022291930553,0.4607536052702925,0.27313048514839716,-0.5393765944574527
SHAI OSUDOKU,GREATER ACCRA,Shai-Osudoku,Greater Accra,5.95875335,0.161872328401567,33556,35351,23.5,44.2,22754,30351,18546,18157,32871,31732,1719,2585,105610,28.738755799640188,21.54530820944986,56.81315109205455,31.773506296752203,True,38.9,13.4,95.8,8.7,91.3,79.2,4.4,84.6,0,0,Southern Belt,Q2,-0.1644240226786986,0.5545226985636633,-0.09117685276448492,0.6246246246246246,NS,0.03334953853758383,0.6056056056056056,NS,0.08849059655944613,0.14514514514514515,NS,1.3323692470631352,NS,0.6027734348915748,0.2017497797958897,0.5713555823378502,0.1440906249224294,-0.6612289370941341
KASENA NANKANA EAST,UPPER EAST,Kasena Nankana Municipal,Upper East,10.895598,-1.30768,23082,44019,33.8,47.1,32647,12449,16622,16172,29966,31126,2070,3939,99895,12.46208518944892,32.681315381150206,53.67969619590126,23.106261574653388,True,62.3,3.2,99.2,2.0,97.7,55.2,25.9,56.8,0,0,Northern Belt,Q1 (lowest),-1.3693130391259143,-1.1820733566185866,1.6186284604211676,0.008008008008008008,LL,-1.7102983199616848,0.001001001001001001,LH,-1.1436586993134426,0.03203203203203203,LH,-3.235943601775573,Cold_99,0.5477554972669023,-2.301783665030174,-0.2809602214656556,1.4106707797122346,0.18756693707498603
ADA WEST,GREATER ACCRA,Ada West,Greater Accra,5.9040093,0.420370257026968,22587,22495,40.1,44.7,25206,45090,15739,15266,20114,21662,1279,2027,76087,59.261108993652,33.12786678407612,74.21725392569897,29.685754465283164,True,38.9,13.4,95.8,8.7,91.3,79.2,4.4,84.6,1,1,Southern Belt,Q4 (highest),2.0950090641198353,0.55171559593543,1.1558491743010024,0.024024024024024024,HH,0.12383857873573982,0.9019019019019019,NS,-0.49701022796207334,0.6156156156156156,NS,2.000876195751829,Hot_95,0.5655619722539013,0.26956569057461044,0.5429780382900197,0.16132978350386226,-0.5846714653697188
BUNKPURUGU NAKPANDURI,NORTHERN EAST,Bunkpurugu Nakpanduri,North East,10.632198,-0.180118,16889,34450,38.3,45.5,31770,8825,15560,15485,23265,23614,1579,2881,82384,10.712031462419889,38.5633132647116,66.22368224578169,20.50033987181977,True,57.4,12.1,95.6,27.0,71.9,32.4,52.5,35.9,0,0,Northern Belt,Q1 (lowest),-1.4988616774432328,0.0064421327120358085,-0.009655865843073914,0.9369369369369369,NS,-2.7566167747867962,0.001001001001001001,LH,-2.700748239457346,0.0,LH,-0.6046223340566956,NS,0.5627090939458039,-0.8644717976866365,0.2064364856897372,0.5947859689340612,-0.6762311362803974
GARU,UPPER EAST,Garu,Upper East,10.76975475,-0.21182067584702,15489,27113,44.7,47.7,36894,14309,14969,14203,17246,19558,2219,3579,71774,19.93618859196924,51.40301501936635,79.26312357352462,21.58023796918104,True,62.3,3.2,99.2,2.0,97.7,55.2,25.9,56.8,0,0,Northern Belt,Q1 (lowest),-0.8160386433260184,-1.3053544927067033,1.0652197092879012,0.01901901901901902,LL,-1.0435181755637228,0.001001001001001001,LH,-1.0866549640310785,0.0,LH,-3.3072314319844858,Cold_99,0.5297902597092796,-0.8484854245602722,0.25240953086434104,0.38843848064290015,-0.5927169852056803
NINGO/PRAMPRAM,GREATER ACCRA,Ningo-Prampram,Greater Accra,5.81176965,0.146110955005239,71636,62214,19.4,44.0,35619,92454,35324,35499,64008,63476,2539,3827,204673,45.17156635218129,17.402881669785465,55.55442251576669,35.000219862903265,True,38.9,13.4,95.8,8.7,91.3,79.2,4.4,84.6,1,0,Southern Belt,Q4 (highest),1.0520233342959848,0.8136949216600394,0.8560260445845048,0.12412412412412413,NS,-0.22567015169753307,0.7107107107107107,NS,-0.5513534753133114,0.4034034034034034,NS,1.7567579209949857,NS,0.5823167951339564,0.21766628856903453,0.5896539900652888,0.0980570220894939,-0.6509096982596094
EAST MAMPRUSI,NORTHERN EAST,East Mamprusi Municipal,North East,10.45279035,-0.416678651029704,27208,74804,54.7,47.4,98293,31628,44042,41952,44297,50910,2780,4025,188006,16.822867355297173,52.28184206887014,90.32319052170531,14.471878557067328,True,57.4,12.1,95.6,27.0,71.9,32.4,52.5,35.9,0,0,Northern Belt,Q1 (lowest),-1.0465038688365293,-0.41754276464956885,0.43696011861047424,0.18218218218218218,NS,-1.6196462547956145,0.0,LH,-1.5614653931423,0.0,LH,-1.4854025118600065,NS,0.5297380788275268,-0.9360570537350781,0.05583272685630333,0.8061651450639002,-0.5946500340392931
LA DADE-KOTOPON,GREATER ACCRA,La Dade-Kotopon Municipal,Greater Accra,5.58947605,-0.156988356399583,59055,43079,8.9,43.1,7669,51992,19006,19124,46798,49510,2295,3531,140264,37.06724462442252,5.467546911538243,39.59172654400465,42.102749101693945,True,38.9,13.4,95.8,8.7,91.3,79.2,4.4,84.6,1,0,Southern Belt,Q3,0.45209669884407316,0.41106586795643457,0.18584152191057773,0.5225225225225225,NS,-0.5356564285333985,0.01701701701701702,HL,-0.5674480533779879,0.005005005005005005,HL,0.9448452617286908,NS,0.5596039264655002,0.35123149645731455,0.543210771153598,0.26437292176571703,-0.6925725194900108
BAWKU WEST,UPPER EAST,Bawku West,Upper East,10.84277,-0.492947618512454,30266,55329,47.6,47.2,74798,18214,30246,28348,37320,39958,3215,5102,144189,12.632031569675911,51.87496965787959,75.82235565102616,20.99050551706441,True,62.3,3.2,99.2,2.0,97.7,55.2,25.9,56.8,0,0,Northern Belt,Q1 (lowest),-1.3567326698462012,-0.9637496957656636,1.307550697799613,0.015015015015015015,LL,-2.826102008969532,0.0,LH,-1.81415145846941,0.002002002002002002,LH,-2.545822929963646,Cold_95,0.4658127967342579,-0.8210636986212329,0.24016448157782286,0.20173202174551327,-0.46876574462959886
AOWIN,WESTERN NORTH,Aowin Municipal,Western North,5.69311555,-2.7557437678514,48339,36622,37.1,41.9,51625,44974,24663,23633,43488,37969,1980,1524,133257,33.74982177296502,38.740929181956666,59.29017763973631,36.275017447488686,True,48.8,10.8,98.6,11.1,87.9,47.8,14.0,71.1,1,0,Southern Belt,Q3,0.20652274503257095,0.4026011648272504,0.0831462977134343,0.7017017017017017,NS,0.02979013947148039,0.7657657657657657,NS,0.13021921154653668,0.2092092092092092,NS,0.818902816851664,NS,0.36731504722895025,-0.12672906240299053,0.6159751623027644,0.4496646914561307,-0.9012916039172701
DORMAA EAST,BONO,Dormaa East,Bono,7.26432845,-2.64146295349265,22570,22261,19.5,41.7,16759,9261,11782,11286,19943,21068,1611,2209,67899,13.639376132196352,24.6822486340005,56.24832362049206,33.240548461685734,True,49.66898148148148,9.783796296296297,98.6,9.3,89.7,61.5,11.8,77.4,0,0,Middle Belt,Q1 (lowest),-1.2821634641267738,-1.2378087327490435,1.5870731327078855,0.004004004004004004,LL,1.0678960322670783,0.03303303303303303,LL,0.776446414782544,0.13413413413413414,NS,-3.330501793665787,Cold_99,0.5742829860404133,-0.5899076329712791,0.47877276293388227,0.5288190173923624,1.2943633008006012
SUAMAN,WESTERN NORTH,Suaman,Western North,6.10824159999999,-3.00869712063798,12182,13089,37.5,41.3,19265,22574,6746,6251,13440,11022,421,388,38268,58.98923382460541,50.342322567157936,53.13138745809828,31.833385596320685,True,48.8,10.8,98.6,11.1,87.9,47.8,14.0,71.1,1,0,Southern Belt,Q4 (highest),2.0748833631780306,0.16658218770332966,0.3456386098674386,0.35935935935935936,NS,-0.4335137991240511,0.6606606606606606,NS,2.479814902709708,0.013013013013013013,HH,1.2354848720821063,NS,0.6961818962514443,-0.3473830621448023,1.004419204847898,0.8043903248747057,-0.4180543808173277
BEREKUM EAST MUNICIPAL,BONO,Berekum East Municipal,Bono,7.4848835,-2.56459096524003,35109,37059,12.6,41.7,15663,12247,17184,16900,31142,36153,1837,3036,106252,11.52637126830554,14.741369574219778,50.64863660004458,33.04314271731356,True,49.66898148148148,9.783796296296297,98.6,9.3,89.7,61.5,11.8,77.4,0,0,Middle Belt,Q1 (lowest),-1.4385797493225625,-1.345856019904523,1.9361212157385106,0.001001001001001001,LL,1.1054709998055638,0.056056056056056056,NS,0.2679348978421835,0.6616616616616616,NS,-3.638235166424934,Cold_99,0.6410391599766101,-0.7177638193909937,0.6091572745530609,0.1182264089937311,1.4349945792997676
BIA EAST,WESTERN NORTH,Bia East,Western North,6.817878,-3.00681786775424,20133,12438,32.9,41.5,22623,23293,10619,9883,16617,14414,918,622,53073,43.88860625930322,42.62619410999943,66.06941445651124,37.93454298795998,True,48.8,10.8,98.6,11.1,87.9,47.8,14.0,71.1,1,0,Southern Belt,Q4 (highest),0.9570515454412662,-0.8849268612407978,-0.8469206201529945,0.08408408408408409,NS,-0.3138172671119451,0.5195195195195195,NS,-0.07159520065729602,0.8878878878878879,NS,-1.1640223962847311,NS,0.7229140699668704,-0.2986578543822171,0.7599206125026222,0.888070436934706,0.5759416980044036
JAMAN SOUTH MUNICIPAL,BONO,Jaman South,Bono,7.62036559999999,-2.7963718064665,35814,35016,15.6,42.1,28919,9686,19952,18986,31156,34312,2169,3193,109768,8.824065301362873,26.3455651920414,59.47638540966579,32.62699511697399,True,49.66898148148148,9.783796296296297,98.6,9.3,89.7,61.5,11.8,77.4,0,0,Middle Belt,Q1 (lowest),-1.6386193554942532,-1.3959004160857509,2.287349440140593,0.005005005005005005,LL,1.6033815703535839,0.04504504504504504,LL,0.83134004597272,0.2962962962962963,NS,-3.25510921511654,Cold_99,0.5604259373394892,-0.660020507976687,0.8169769673820044,-0.048353403029765034,1.0747743844925517
BIA WEST,WESTERN NORTH,Bia West,Western North,6.56894165,-3.06628883975843,38243,33676,24.5,41.3,11991,8269,22464,21498,35895,33204,1596,1224,115881,7.135768590191661,10.34768426230357,63.62176008335866,33.001958906119214,True,48.8,10.8,98.6,11.1,87.9,47.8,14.0,71.1,0,0,Southern Belt,Q1 (lowest),-1.7635963985586054,0.6025590865104445,-1.062671034888583,0.13713713713713713,NS,0.2209540803880898,0.8788788788788788,NS,-1.7668784402424067,0.17217217217217218,NS,-0.3236897432379956,NS,0.7592945813172864,-0.26142000783592517,0.976214271978034,0.872661353041003,0.37535071644731993
